epoch,train_loss,val_auc
1,0.14432410352370317,0.7998648980594447
2,0.10340434843126466,0.800939572586588
3,0.0972494273501284,0.8089535740604273
4,0.09344841202392298,0.8010163350528127
5,0.09058905379737124,0.8053610906411202
6,0.08647905342719134,0.791774134119381
7,0.08344871980302473,0.8276836158192091
8,0.0829706823124605,0.8020449521002211
9,0.08122474901816425,0.7865696389093588
10,0.08111224332276512,0.7932940309506264
11,0.08262118627043331,0.795719724883321
12,0.0770311749595053,0.7874293785310735
13,0.07629253693363246,0.813129452223041
14,0.07635862678289414,0.7931865634979121
15,0.07556153803187259,0.7782178825841317
16,0.07485518223222565,0.7897629575042986
17,0.07233705288347075,0.8023980594448539
